game_id,game_date,opponent,cluster,segment_name,business_recommendation,total_revenue,tickets_sold,sell_through_rate,avg_ticket_price,promotion_usage_rate,cart_abandonment_rate
1,2025-10-20,PHX,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1857702.86,10081,0.5600555555555555,184.62542291802563,0.1041530767558164,0.4663299663299663
2,2025-10-24,NYK,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2649273.99,12850,0.7138888888888889,205.64481169389512,0.0964746345657781,0.529331514324693
3,2025-10-28,OKC,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1881009.4,10226,0.5681111111111111,183.95204506065855,0.0946707105719237,0.4892205638474295
4,2025-11-01,SAC,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2309354.23,11859,0.6588333333333334,194.17341872465903,0.1021009952082565,0.4733542319749216
5,2025-11-05,DAL,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2370518.11,12376,0.6875555555555556,191.8340523338048,0.0938826025459688,0.4937888198757764
6,2025-11-09,PHX,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2444000.79,12683,0.7046111111111111,193.4258724597057,0.102312543798178,0.5089820359281437
7,2025-11-13,MIL,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1886142.5,10332,0.574,181.6632623655914,0.1023655913978494,0.4746317512274959
8,2025-11-17,BOS,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2192916.45,11215,0.6230555555555556,198.08316107644305,0.1078393135725429,0.4931506849315068
9,2025-11-21,PHX,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2575731.9,12919,0.7177222222222223,199.64569493820892,0.1005586592178771,0.4953416149068322
10,2025-11-25,OKC,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1964834.72,10149,0.5638333333333333,192.14419139784945,0.1055913978494623,0.475873544093178
11,2025-11-29,OKC,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2486762.93,12307,0.6837222222222222,202.41953350144092,0.0963616714697406,0.471841704718417
12,2025-12-03,SAC,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1828370.21,9918,0.551,185.4769183359014,0.0904688531807175,0.4915824915824915
13,2025-12-07,DAL,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2633021.14,13160,0.7311111111111112,200.40739578143163,0.1019764158777611,0.4761904761904761
14,2025-12-11,NYK,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2103107.88,10796,0.5997777777777777,195.02738321536907,0.098685540950455,0.505524861878453
15,2025-12-15,SAC,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1961065.35,10293,0.5718333333333333,189.18064783347492,0.102803738317757,0.505050505050505
16,2025-12-19,SAC,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2433392.88,12104,0.6724444444444444,201.4825439560439,0.0961538461538461,0.5038759689922481
17,2025-12-23,BOS,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2350626.51,11729,0.6516111111111111,201.54647955390337,0.1074349442379182,0.4838709677419355
18,2025-12-27,DEN,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2661817.74,12816,0.712,206.9831821282401,0.0980559345156889,0.5034770514603616
19,2025-12-31,DAL,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2115815.17,10920,0.6066666666666667,193.5571137144011,0.0985659462734801,0.4890190336749633
20,2026-01-04,GSW,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2808273.8,12952,0.7195555555555555,216.4832054329372,0.098811544991511,0.5197452229299363
21,2026-01-08,SAC,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1954273.87,10668,0.5926666666666667,184.04574230848647,0.0976667354945281,0.4910071942446042
22,2026-01-12,SAS,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1790760.88,10099,0.5610555555555555,177.82356925749022,0.0955275727312201,0.5
23,2026-01-16,DEN,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2637578.81,13070,0.7261111111111112,201.54232897384304,0.1042924211938296,0.5380200860832138
24,2026-01-20,GSW,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2277975.36,11221,0.6233888888888889,203.99678140454995,0.0915924826904055,0.4679487179487179
25,2026-01-24,SAS,1,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1728093.19,9874,0.5485555555555556,174.21002251745102,0.3512722359828867,0.504149377593361
26,2026-01-28,DAL,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2008189.67,10486,0.5825555555555556,190.28508303552655,0.1015345806180365,0.5336322869955157
27,2026-02-01,LAL,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2897264.18,13332,0.7406666666666667,217.67539695666557,0.1010585511081706,0.4866743916570104
28,2026-02-05,SAS,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1608136.16,9273,0.5151666666666667,173.81913372781065,0.0991715976331361,0.4970178926441352
29,2026-02-09,MIL,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2027587.54,10486,0.5825555555555556,192.3551376918226,0.1036367458482236,0.5048701298701299
30,2026-02-13,DEN,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2593865.35,12655,0.7030555555555555,205.1532840493999,0.1048878065750565,0.4970501474926253
31,2026-02-17,SAS,1,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1618970.46,9226,0.5125555555555555,175.9668083590596,0.3367371170743291,0.5197368421052632
32,2026-02-21,MIA,1,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1749741.36,10163,0.5646111111111111,172.42677638797454,0.3561553653719552,0.4896694214876033
33,2026-02-25,LAL,3,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2237826.15,10809,0.6005,206.52329231389953,0.1079281823683679,0.5112781954887218
34,2026-03-01,OKC,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2432643.19,12187,0.6770555555555555,198.77824339007609,0.0981528431727634,0.5087999999999999
35,2026-03-05,OKC,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1878488.39,10320,0.5733333333333334,183.19833227914825,0.0978283786632932,0.497504159733777
36,2026-03-09,MIL,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",2116494.22,11655,0.6475,180.55726963103123,0.1002838221381267,0.4959216965742251
37,2026-03-13,SAS,1,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1636846.09,10032,0.5573333333333333,163.48216109154927,0.3505721830985915,0.4741144414168937
38,2026-03-17,SAS,2,Inventory Risk,"Increase marketing support, monitor checkout friction, and consider limited-time promotions.",1768678.04,10315,0.5730555555555555,172.64661667023785,0.1002785515320334,0.5282258064516129
39,2026-03-21,BOS,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2537953.16,11761,0.6533888888888889,215.62358082706768,0.1030075187969924,0.4967148488830486
40,2026-03-25,SAS,1,Promotion Opportunity,"Use targeted discounts, family bundles, or student offers to increase conversion.",1488404.4,9306,0.517,159.666838357465,0.348920009494422,0.4880174291938998
41,2026-03-29,PHX,0,Premium Demand,Consider increasing prices for premium sections and releasing inventory earlier.,2504177.03,12714,0.7063333333333334,197.35260062456624,0.0985426786953504,0.465288035450517
